objectid,filename,title,format,material,description,date,location,creator,display,type,rights
scmv_001,071.jpg,Souvenir Fan,image/jpg ,"Wood, Paper",A souvenir fan from Santa Claus Land.,,"Santa Claus, Indiana, USA",Santa Claus Land,,Physical Object,https://rightsstatements.org/page/NKC/1.0/?language=en
scmv_002,128.jpg,Award,image/jpg ,"Wood, Glass","Award for ""The Spencer County Regional Chamber of Commerce presents the Lincoln Railsplitter Award Edition 1999 to William (Bill) Koch a citizen of Distinction and crystal clear vision.""",1999,"Santa Claus, Indiana, USA",,On Display,Physical Object,https://rightsstatements.org/page/NKC/1.0/?language=en
scmv_003,IMG_1971.jpg,Santa Jim Yelllig's Glasses and Belt Pin,image/jpg ,"Glass, Metal","The glasses that famous Santa Claus, Indiana Santa impersonator, Jim Yellig, wore as he portrayed the character and the belt pin that would keep his belt attached.",n/a,"Santa Claus, Indiana, USA","Yellig, Jim",In Storage,Physical Object,https://rightsstatements.org/page/NKC/1.0/?language=en
scmv_004,1055.jpg,Souvenir Santa Claus Land Patch,image/jpg ,Fabric,A souvenir fabric patch with Santa's face on it from Santa Claus Land.,n/a,"Santa Claus, Indiana, USA",Santa Claus Land,In Storage,Physical Object,https://rightsstatements.org/page/NKC/1.0/?language=en
scmv_005,1062.jpg,Santa Claus Land Vintage Ticket,image/jpg ,Paper,A ticket to Santa Claus Land for Southwestern Indiana Teachers.,n/a,"Santa Claus, Indiana, USA",Santa Claus Land,,Physical Object,https://rightsstatements.org/page/NKC/1.0/?language=en
scmv_006,1082.jpg,"""Santa Claus Land"" ",image/jpg ,Paper,A book by Amanda M Douglas about Santa Claus Land.,n/a,,"Douglas, Amanda M",In Storage,Physical Object,https://rightsstatements.org/page/NKC/1.0/?language=en
scmv_007,726.jpg,Souvenir Miniature Dish,image/jpg ,Porcelain,A souvenir item for Santa Claus Land.,n/a,"Santa Claus, Indiana, USA",Santa Claus Land,In Storage,Physical Object,https://rightsstatements.org/page/NKC/1.0/?language=en
scmv_008,727.jpg,Souvenir Miniature Scenery Dish,image/jpg ,Porcelain,A souvenir item for Santa Claus Land depicting the various locations within the park.,n/a,"Santa Claus, Indiana, USA",Santa Claus Land,In Storage,Physical Object,https://rightsstatements.org/page/NKC/1.0/?language=en
scmv_009,752.jpg,Souvenir Pitcher,image/jpg ,Porcelain,A souvenir creamer pitcher for Santa Claus Land.,n/a,"Santa Claus, Indiana, USA",Santa Claus Land,In Storage,Physical Object,https://rightsstatements.org/page/NKC/1.0/?language=en
scmv_010,760.jpg,Souvenir Coffe Cup,image/jpg ,Porcelain,"Coffee Cup with handle illustrated Santa with toy bag that says ""U.S. Post Office Santa Claus, Ind.""",n/a,"Santa Claus, Indiana, USA",Santa Claus Land,,Physical Object,https://rightsstatements.org/page/NKC/1.0/?language=en
scmv_011,782.jpg,Souvenir Toy Flute,image/jpg ,Plastic,"Toy flute with image of Santa Claus waving and ""Santa Claus Land"" in black text.",n/a,"Santa Claus, Indiana, USA",Santa Claus Land,,Physical Object,https://rightsstatements.org/page/NKC/1.0/?language=en
scmv_012,IMG_2022.jpg,Souvenir Pin,image/jpg ,Metal,"Pin from Santa Claus Land that reads:""Santa Claus Land Helpers Club Merry Xmas.""",n/a,"Santa Claus, Indiana, USA",Santa Claus Land,In Storage,Physical Object,https://rightsstatements.org/page/NKC/1.0/?language=en
scmv_013,611.jpg,Souvenir Tea Cup,image/jpg ,Porcelain,"Tea cup that reads: ""Santa Claus Land"" with hand drawn illustration of Santa waving with scenery behind Santa.",n/a,"Santa Claus, Indiana, USA",Santa Claus Land,,Physical Object,https://rightsstatements.org/page/NKC/1.0/?language=en
